elapsed_seconds,memory_mib
1,0
2,2
3,0
4,0
5,0
7,0
8,2
9,166
11,314
13,1050
14,1
15,116
17,456
18,1606
19,1606
21,1606
22,1606
23,1606
24,1606
25,1606
27,1606
28,1606
29,1606
30,1606
31,1606
33,1606
34,1606
35,1606
36,1606
37,1606
39,1606
40,1606
41,1606
42,1606
43,1606
45,1606
46,1606
47,1606
48,1606
49,1606
50,1406
52,706
53,305
54,0
55,0
57,0
58,0
59,0
60,0
61,0
63,0
64,0
65,0
66,0
67,0
69,0
70,0
71,0
72,0
73,0
75,0
76,0
77,0
78,0
79,0
81,0
82,0
83,0
84,0
85,0
87,0
88,166
90,248
92,906
93,0
94,0
95,0
97,2
99,166
101,1606
102,1606
103,1606
104,1606
105,1606
107,1606
108,1606
109,1606
110,1606
111,1606
113,1606
114,1606
115,1606
116,1606
117,1606
119,1606
120,1606
121,1606
122,1606
123,1606
125,1606
126,1606
127,1606
128,1606
129,1606
131,1606
132,1606
133,750
134,0
136,0
137,0
138,0
139,0
140,0
142,0
143,0
144,0
145,0
146,0
148,0
149,0
150,0
151,0
152,0
154,0
155,0
156,0
157,0
158,0
160,0
161,0
162,0
163,0
164,0
166,0
167,166
169,244
171,920
172,0
173,0
174,0
176,166
178,322
179,1606
180,1606
182,1606
183,1606
184,1606
185,1606
186,1606
188,1606
189,1606
190,1606
191,1606
192,1606
194,1606
195,1606
196,1606
197,1606
198,1606
200,1606
201,1606
202,1606
203,1606
204,1606
206,1606
207,1606
208,1606
209,1606
211,1246
212,3
213,0
214,0
215,0
217,0
218,0
219,0
220,0
221,0
223,0
224,0
225,0
226,0
227,0
229,0
230,0
231,0
232,0
233,0
234,0
236,0
237,0
238,0
239,0
240,0
242,0
243,0
245,1
247,166
248,1190
249,1
251,0
252,0
253,4
255,166
256,1606
258,1606
259,1606
260,1606
261,1606
262,1606
264,1606
265,1606
266,1606
267,1606
268,1606
270,1606
271,1606
272,1606
273,1606
274,1606
276,1606
277,1606
278,1606
279,1606
280,1606
282,1606
283,1606
284,1606
285,1606
286,1606
288,1606
289,698
290,0
291,0
293,0
294,0
295,0
296,0
297,0
299,0
300,0
301,0
302,0
303,0
305,0
306,0
307,0
308,0
309,0
311,0
312,0
313,0
314,0
315,0
317,0
318,0
319,0
320,0
321,0
323,4
325,166
326,1190
328,0
329,0
330,0
332,2
334,166
335,1606
336,1606
337,1606
339,1606
340,1606
341,1606
342,1606
343,1606
345,1606
346,1606
347,1606
348,1606
349,1606
351,1606
352,1606
353,1606
354,1606
355,1606
357,1606
358,1606
359,1606
360,1606
361,1606
363,1606
364,1606
365,1606
366,1606
367,1606
369,1606
370,1606
371,1606
372,1606
373,1606
375,1606
376,1606
377,1606
378,1606
379,1606
381,1606
382,1606
383,1606
384,1606
386,1606
387,1606
388,1606
389,1606
391,1606
392,1606
393,1606
394,1606
395,1606
397,1606
398,1606
399,1606
400,1606
402,1606
403,1606
404,1606
405,1606
407,1606
408,1606
409,1606
410,1606
412,1606
413,1606
414,1606
416,1606
417,1606
418,1606
420,1606
421,1606
422,1606
423,1606
425,1606
426,1606
427,1606
428,1606
430,1606
431,1606
432,1606
433,1028
435,206
436,6
437,0
438,0
439,0
441,0
442,0
443,0
444,0
445,0
447,0
448,0
449,0
450,0
451,0
453,0
454,0
455,0
456,0
457,0
459,0
460,0
461,0
462,0
463,0
465,0
466,0
467,0
468,0
470,4
472,166
473,1190
475,0
476,0
477,0
478,2
480,166
482,1606
483,1606
484,1606
485,1606
487,1606
488,1606
489,1606
490,1606
491,1606
493,1606
494,1606
495,1606
496,1606
497,1606
499,1606
500,1606
501,1606
502,1606
503,1606
505,1606
506,1606
507,1606
508,1606
509,1606
511,1606
512,1606
513,1606
514,1606
515,1606
517,1606
518,1606
519,1606
520,1606
522,1606
523,1606
524,1606
525,1606
526,1606
528,1606
529,1606
530,1606
532,1606
533,1606
534,1606
535,1606
537,1606
538,1606
539,1606
541,1606
542,1616
543,1606
545,1606
546,1606
547,1606
548,1606
550,1606
551,1606
552,1606
554,1606
555,1606
556,1182
557,706
558,6
560,0
561,0
562,0
563,0
565,0
566,0
567,0
568,0
569,0
571,0
572,0
573,0
574,0
575,0
577,0
578,0
579,0
580,0
581,0
583,0
584,0
585,0
586,0
587,0
589,0
590,0
591,0
593,166
595,244
596,1046
598,0
599,0
600,0
602,166
604,272
605,1606
606,1606
607,1606
608,1606
610,1606
611,1606
612,1606
613,1606
615,1606
616,1606
617,1606
618,1606
619,1606
621,1606
622,1606
623,1606
624,1606
625,1606
627,1606
628,1606
629,1606
630,1606
631,1606
633,1606
634,1606
635,1606
636,1606
638,1606
639,1606
640,1606
641,1606
642,1606
644,1606
645,1606
646,1606
647,1606
649,1606
650,1606
651,1606
652,1606
654,1606
655,1606
656,1606
658,1606
659,1606
660,1606
662,1606
663,1606
664,1606
665,1606
667,1606
668,1606
669,1606
671,1606
672,1606
673,1606
675,1606
676,1606
677,1606
678,1406
679,1014
681,6
682,3
683,0
684,0
686,0
687,0
688,0
689,0
690,0
692,0
693,0
694,0
695,0
697,0
698,0
699,0
700,0
701,0
703,0
704,0
705,0
706,0
707,0
709,0
710,0
711,0
712,0
713,0
715,0
717,166
719,1190
720,0
721,0
723,0
724,2
726,166
728,1606
729,1606
730,1606
731,1606
732,1606
734,1606
735,1606
736,1606
737,1606
738,1606
740,1606
741,1606
742,1606
743,1606
744,1606
746,1606
747,1606
748,1606
749,1606
750,1606
752,1606
753,1606
754,1606
755,1606
756,1606
758,1606
759,1606
760,1606
761,1606
762,1606
764,1606
765,1606
766,1606
767,1606
769,1606
770,1606
771,1606
772,1606
774,1606
775,1606
776,1606
777,1606
779,1606
780,1606
781,1606
783,1606
784,1606
785,1606
786,1606
788,1606
789,1606
790,1606
792,1606
793,1606
794,1606
795,1606
797,1606
798,1606
799,1606
800,1606
802,1606
803,878
804,500
805,0
